import time: self [us] | cumulative | imported package
import time:      1331 |       1331 |           numpy.lib._arrayterator_impl
import time:      2143 |       2143 |           numpy.lib._nanfunctions_impl
import time:     37137 |      37137 |                     _wmi
import time:      4316 |      41452 |                   platform
import time:     39756 |      81208 |                 numpy.lib._utils_impl
import time:    141099 |     222307 |               numpy.lib._format_impl
import time:      1447 |     223753 |             numpy.lib.format
import time:      1709 |       1709 |             numpy.lib._datasource
import time:      2397 |       2397 |             numpy.lib._iotools
import time:    173796 |     401654 |           numpy.lib._npyio_impl
import time:      1100 |       1100 |               numpy.lib._ufunclike_impl
import time:      1715 |       2815 |             numpy.lib._type_check_impl
import time:     59354 |      62169 |           numpy.lib._polynomial_impl
import time:     28748 |      28748 |           numpy.lib._shape_base_impl
import time:     54253 |      54253 |           numpy.lib._version
import time:     61562 |      61562 |           numpy.lib.introspect
import time:      3409 |       3409 |           numpy.lib.mixins
import time:      1218 |       1218 |           numpy.lib.npyio
import time:      2772 |       2772 |             numpy.lib._scimath_impl
import time:      1117 |       3889 |           numpy.lib.scimath
import time:      2568 |    1909322 |         numpy.lib
import time:      1595 |       1595 |         numpy._array_api_info
import time:     44329 |    3619240 |       numpy
import time:     23065 |      23065 |       matplotlib._c_internal_utils
import time:     93962 |    3738024 |     matplotlib.cbook
import time:     65926 |      65926 |     matplotlib._docstring
import time:    131775 |     131775 |         matplotlib.backends.registry
import time:     83926 |     215701 |       matplotlib.backends
import time:      1702 |       1702 |         base64
import time:     35145 |      35145 |           PIL._version
import time:     38518 |      73662 |         PIL
import time:    104444 |     104444 |           PIL.ExifTags
import time:      2429 |       2429 |           PIL.ImageMode
import time:      3873 |       3873 |           PIL.TiffTags
import time:     68263 |      68263 |           PIL._binary
import time:     38759 |      38759 |           PIL._deprecate
import time:      1963 |       1963 |           PIL._util
import time:       741 |        741 |           defusedxml
import time:     44599 |      44599 |           PIL._imaging
import time:      9183 |     274251 |         PIL.Image
import time:      1492 |       1492 |           PIL.ImageChops
import time:     43843 |      43843 |           PIL.ImageFile
import time:       242 |        242 |             array
import time:      3858 |       3858 |             PIL.GimpGradientFile
import time:     63129 |      63129 |             PIL.GimpPaletteFile
import time:     63789 |      63789 |             PIL.ImageColor
import time:     28332 |      28332 |             PIL.PaletteFile
import time:      1942 |     161290 |           PIL.ImagePalette
import time:      1535 |       1535 |           PIL.ImageSequence
import time:      5037 |     213194 |         PIL.PngImagePlugin
import time:      1904 |       1904 |         matplotlib._cm
import time:     33978 |      33978 |               matplotlib._path
import time:     80771 |      80771 |                 matplotlib.bezier
import time:     71039 |     151809 |               matplotlib.path
import time:      9334 |     195121 |             matplotlib.transforms
import time:     64873 |     259993 |           matplotlib.ticker
import time:      4021 |     264014 |         matplotlib.scale
import time:      1835 |       1835 |         matplotlib._image
import time:     46196 |      46196 |         matplotlib._color_data
import time:     41351 |     918105 |       matplotlib.colors
import time:      2463 |       2463 |           pyparsing.util
import time:      2260 |       2260 |             pyparsing.unicode
import time:     84006 |      86266 |           pyparsing.exceptions
import time:     61275 |      61275 |             pyparsing.results
import time:      5672 |      66947 |           pyparsing.actions
import time:     71313 |      71313 |           pyparsing.core
import time:     88401 |      88401 |           pyparsing.helpers
import time:     36278 |      36278 |           pyparsing.testing
import time:     86575 |      86575 |           pyparsing.common
import time:     50321 |     488561 |         pyparsing
import time:     81178 |     569739 |       matplotlib._fontconfig_pattern
import time:     66257 |      66257 |       matplotlib._enums
import time:      5343 |       5343 |       cycler
import time:     36709 |    1811852 |     matplotlib.rcsetup
import time:     34396 |      34396 |     matplotlib.ft2font
import time:     34284 |      34284 |     dateutil._version
import time:      1543 |       1543 |       kiwisolver.exceptions
import time:     41696 |      43239 |     kiwisolver._cext
import time:     41660 |      41660 |       numpy.ma.core
import time:     63489 |      63489 |       numpy.ma.extras
import time:     38863 |     144011 |     numpy.ma
import time:      8360 |       8360 |         matplotlib.artist
import time:     81873 |      90233 |       matplotlib.colorizer
import time:    105545 |     105545 |       matplotlib._cm_listed
import time:      3411 |       3411 |       matplotlib._cm_multivar
import time:     40634 |      40634 |       matplotlib._cm_bivar
import time:    131339 |     371159 |     matplotlib.cm
import time:    181673 |    6928560 |   matplotlib
import time:     30908 |      30908 |           _uuid
import time:      1879 |      32787 |         uuid
import time:      1517 |       1517 |         matplotlib._pylab_helpers
import time:     61371 |      95674 |       matplotlib.backend_tools
import time:      1479 |       1479 |                 xml
import time:      1410 |       2889 |               xml.parsers
import time:     35559 |      35559 |               pyexpat
import time:      1341 |      39789 |             xml.parsers.expat
import time:      4134 |      43923 |           plistlib
import time:      3058 |       3058 |             matplotlib._mathtext_data
import time:      2550 |       5608 |           matplotlib._afm
import time:      1220 |       1220 |           encodings.cp1252
import time:     42254 |      93004 |         matplotlib.font_manager
import time:     47002 |      47002 |           matplotlib.hatch
import time:     36962 |      36962 |             matplotlib.markers
import time:     85370 |     122332 |           matplotlib.lines
import time:    334510 |     503844 |         matplotlib.patches
import time:      1138 |       1138 |             urllib
import time:      5540 |       5540 |             ipaddress
import time:      3946 |      10624 |           urllib.parse
import time:     68717 |      68717 |           matplotlib._text_helpers
import time:     31129 |      31129 |           matplotlib.dviread
import time:      2150 |       2150 |               unicodedata
import time:     82125 |      84274 |             matplotlib._mathtext
import time:     28933 |     113206 |           matplotlib.mathtext
import time:     34207 |      34207 |               _hashlib
import time:       188 |        188 |               _blake2
import time:      1877 |      36272 |             hashlib
import time:     72021 |     108292 |           matplotlib.texmanager
import time:     30945 |     362912 |         matplotlib.textpath
import time:     44631 |    1004389 |       matplotlib.text
import time:     62372 |      62372 |       matplotlib._tight_bbox
import time:    214062 |     214062 |         matplotlib.collections
import time:    173924 |     387986 |       matplotlib.widgets
import time:     41206 |      41206 |       matplotlib.backend_managers
import time:      1639 |       1639 |           matplotlib._layoutgrid
import time:     36886 |      38525 |         matplotlib._constrained_layout
import time:     29603 |      29603 |         matplotlib._tight_layout
import time:      2282 |      70409 |       matplotlib.layout_engine
import time:     72474 |    1734507 |     matplotlib.backend_bases
import time:     45797 |    1780303 |   matplotlib.image
import time:      2010 |       2010 |           importlib.resources.abc
import time:     40597 |      42607 |         importlib.resources._common
import time:       987 |        987 |         importlib.resources._functional
import time:       992 |      44585 |       importlib.resources
import time:     91137 |     135722 |     matplotlib.style.core
import time:      1571 |     137292 |   matplotlib.style
import time:     63346 |      63346 |     matplotlib._blocking_input
import time:    120984 |     120984 |           matplotlib.offsetbox
import time:     26093 |      26093 |                 _decimal
import time:      1172 |      27264 |               decimal
import time:     30724 |      57988 |             matplotlib.units
import time:     83428 |     141415 |           matplotlib.axis
import time:     53955 |      53955 |           matplotlib.gridspec
import time:     62270 |      62270 |           matplotlib.spines
import time:     72391 |      72391 |           matplotlib.table
import time:    116340 |     567353 |         matplotlib.axes._base
import time:      3378 |       3378 |                 calendar
import time:      6238 |       6238 |                 six
import time:     59629 |      59629 |                 dateutil._common
import time:       152 |        152 |                   six.moves
import time:     82141 |      82141 |                   dateutil.tz._common
import time:     74935 |      74935 |                   dateutil.tz._factories
import time:      1773 |       1773 |                       ctypes._layout
import time:      5348 |       7121 |                     ctypes.wintypes
import time:     91715 |      98835 |                   dateutil.tz.win
import time:     77155 |     333216 |                 dateutil.tz.tz
import time:    157102 |     559560 |               dateutil.parser._parser
import time:     87030 |      87030 |               dateutil.parser.isoparser
import time:     70428 |     717017 |             dateutil.parser
import time:     25367 |     742384 |           matplotlib.category
import time:     55507 |      55507 |           matplotlib.contour
import time:      3860 |       3860 |             dateutil.rrule
import time:     50799 |      54658 |           matplotlib.dates
import time:     61305 |      61305 |           matplotlib.inset
import time:     73892 |      73892 |             matplotlib.container
import time:     69259 |      69259 |             matplotlib.legend_handler
import time:     35974 |     179125 |           matplotlib.legend
import time:     67597 |      67597 |           matplotlib.mlab
import time:     81405 |      81405 |           matplotlib.quiver
import time:      1452 |       1452 |           matplotlib.stackplot
import time:      1622 |       1622 |           matplotlib.streamplot
import time:     77618 |      77618 |             matplotlib.tri._triangulation
import time:      5938 |       5938 |             matplotlib.tri._tricontour
import time:     43851 |      43851 |             matplotlib.tri._trifinder
import time:      1601 |       1601 |               matplotlib.tri._tritools
import time:     42308 |      43909 |             matplotlib.tri._triinterpolate
import time:     43678 |      43678 |             matplotlib.tri._tripcolor
import time:     68374 |      68374 |             matplotlib.tri._triplot
import time:     61502 |      61502 |             matplotlib.tri._trirefine
import time:      1988 |     346856 |           matplotlib.tri
import time:      8318 |       8318 |           matplotlib.axes._secondary_axes
import time:    170244 |    1770467 |         matplotlib.axes._axes
import time:     33310 |    2371129 |       matplotlib.axes
import time:    111442 |     111442 |       matplotlib.projections.geo
import time:    183527 |     183527 |       matplotlib.projections.polar
import time:     21874 |      21874 |         mpl_toolkits
import time:      1813 |       1813 |             mpl_toolkits.mplot3d.proj3d
import time:     96706 |      98519 |           mpl_toolkits.mplot3d.art3d
import time:     48156 |      48156 |           mpl_toolkits.mplot3d.axis3d
import time:     57286 |     203960 |         mpl_toolkits.mplot3d.axes3d
import time:      2222 |     228055 |       mpl_toolkits.mplot3d
import time:     48742 |    2942893 |     matplotlib.projections
import time:     73133 |      73133 |     matplotlib.colorbar
import time:     81825 |    3161195 |   matplotlib.figure
import time:    121459 |   12128807 | matplotlib.pyplot
import time:     32680 |      32680 |   matplotlib.backends._backend_agg
import time:     66879 |      99559 | matplotlib.backends.backend_agg
import time:     74956 |      74956 |   matplotlib._type1font
import time:      1686 |       1686 |   matplotlib.backends.backend_mixed
import time:     40282 |      40282 |         fontTools.misc
import time:       216 |        216 |           gc
import time:      1908 |       2123 |         timeit
import time:      2541 |      44946 |       fontTools.misc.loggingTools
import time:      1960 |      46906 |     fontTools
import time:     46102 |      46102 |         fontTools.misc.configTools
import time:      1806 |      47908 |       fontTools.config
import time:     34284 |      34284 |       fontTools.misc.roundTools
import time:     76779 |      76779 |             fontTools.misc.textTools
import time:      2512 |      79291 |           fontTools.misc.xmlWriter
