Fri Apr 17 16:32:40 2026    docs\perf\flamegraph-startup-latest.cprofile.prof

         2592551 function calls (2547498 primitive calls) in 52.948 seconds

   Ordered by: cumulative time
   List reduced from 8136 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2058    0.066    0.000    1.738    0.001 <frozen importlib._bootstrap_external>:1360(find_spec)
        1    0.000    0.000    1.702    1.702 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\cbook.py:1(<module>)
        1    0.000    0.000    1.694    1.694 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\axes\__init__.py:1(<module>)
        1    0.000    0.000    1.667    1.667 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\sparse\linalg\__init__.py:1(<module>)
      120    0.002    0.000    1.653    0.014 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\matplotlib\artist.py:1832(kwdoc)
        1    0.000    0.000    1.650    1.650 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\customtkinter\windows\widgets\ctk_button.py:1(<module>)
        1    0.000    0.000    1.630    1.630 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\scipy\stats\_distn_infrastructure.py:1(<module>)
        1    0.001    0.001    1.628    1.628 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\numpy\__init__.py:1(<module>)
        1    0.000    0.000    1.455    1.455 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\core\groupby\__init__.py:1(<module>)
        1    0.000    0.000    1.451    1.451 C:\Users\mmoheban\AppData\Local\Programs\Python\Python314\Lib\site-packages\pandas\core\groupby\generic.py:1(<module>)


